Disponible	Zona	Condominio	Unidad	Piso	Tipo	Recámaras 	Baños
Baja de listing	Kukulkan	NaiaTulum	C33	Tercer Piso	Studio	0	2
Baja de listing	Region 15	Solemn	207	Segundo Piso	Studio	0	1
Baja de listing	Region 15		F3 14	Primer Piso	Studio	0	1
Baja de listing	Region 15	Solemn	307	Primer Piso	Studio	0	1
Baja de listing	La Veleta	Seremonia Selva	404	Primer Piso	Studio	0	1
Baja de listing	Region 15	Solemn 	201	Segundo Piso	Departamento	2	1
Baja de listing	La Veleta	Rosa de Piedra	3	Primer Piso	Departamento	1	1
Baja de listing	Region 15	Solemn 	102	Planta baja	Studio	0	1
Baja de listing	Region 15	Solemn	302	Primer Piso	Studio	0	1
Baja de listing	Aldea Zama	Estela Tulum	B302 (sin muebles)	Primer Piso	Departamento	1	1
Baja de listing	Tumben kaa	Tulix	Casa #7 sin muebles	Planta baja	Casa	3	3
Baja de listing	La Veleta	Central Park Lagunas	E101	Planta baja	Studio	0	1
Baja de listing	La Veleta	Xamira	36	Segundo Piso	Studio	0	1
Baja de listing	Aldea Zama	Estela Tulum	D101 (sin muebles)	Planta baja	Departamento	2	2
Baja de listing	La Veleta	Condos Ocho	A3	Segundo Piso	Departamento	1	1
Baja de listing	Kukulkan	Adora	304	Primer Piso	Studio	0	1
Baja de listing	Region 15	Solemn 	105	Primer Piso	Departamento	2	2
Baja de listing	Aldea Zama	Estela Tulum		Planta baja	Departamento		1
Baja de listing	La Veleta	Panoramic	PH4A	PenThouse	studio PH	0	1
Baja de listing	Kukulkan	Naia Tulum	314	Segundo Piso	Studio	0	1
Baja de listing	Region 15	Solemn 	401	PenThouse	PentHouse	2	2
Baja de listing	Tumben kaa	Xunik	T4 #304	Tercer Piso	Departamento	2	2
Baja de listing	Aldea Zama	Paramar Viva	113	Primer Piso	Departamento	1	1
Baja de listing	Kukulkan	Adora	H8	Primer Piso	Studio	0	1
Baja de listing	La Veleta	Palalma Tierra	8	Planta baja	Departamento	1	1
