Zona	Condominio	Unidad	Piso	Tipo
Aldea Tulum	Aldea Tulum	10		Departamento
Kukulkan	Mistiq Tulum	C303		PentHouse
La Veleta	Cacao	A101	Planta baja	Departamento
Aldea Zama	Paramar Viva	206	Segundo Piso	Departamento
Aldea Zama	Paramar Viva	213	Segundo Piso	Departamento
Aldea Zama	Paramar Viva	130	Primer Piso	Departamento
Aldea Zama	Quinto Sol	3	PenThouse	PentHouse
Aldea Zama	Ik Zama	3	Planta baja	Departamento
Aldea Zama	Ik Zama	7	Planta baja	Departamento
Kukulkan	Adora	207	Primer Piso	Departamento
Kukulkan	Adora	208	Primer Piso	Departamento
La Veleta	Cacao	A301	PenThouse	PentHouse
La Veleta	Cacao	B102	Planta baja	Departamento
La Veleta	Cacao	B104	Planta baja	Departamento
La Veleta	Cacao	B105	Planta baja	Departamento
La Veleta	Cacao	E302	PenThouse	PentHouse
La Veleta	Cacao	E303	PenThouse	PentHouse
La Veleta	Cacao	D304	PenThouse	PentHouse
Mun Tulum	Mun Townhouse	3	Planta baja	TownHouse
Mun Tulum	Mun Townhouse	7	Planta baja	TownHouse
Mun Tulum	Mun Townhouse	12	Planta baja	TownHouse
Mun Tulum	Mun Townhouse	17	Planta baja	TownHouse
Mun Tulum	Mun Townhouse	20	Planta baja	TownHouse
Kukulkan	Adora	302	Segundo Piso	Studio
Kukulkan	Adora	H4	Primer Piso	Studio
Kukulkan	Adora	Villa 1	Planta baja	Casa
Kukulkan	Adora	Villa 2	Planta baja	Casa
Villas Tulum	Homes	101	Planta baja	Departamento
Kukulkan	Adora	Villa 5 (solo vacacional)	Planta baja	Casa
Kukulkan	Adora	301	Segundo Piso	Studio
Mun Tulum	Mun Townhouse	31	Planta baja	TownHouse
Region 15	Noil Residences	2	Planta baja	Departamento
Holistika	Villa Tuunich	1	Planta baja	Villa
La Veleta	Cacao	A102	Planta baja	Departamento
La Veleta	Cacao	B301	PenThouse	PentHouse
Selva Norte	Selva Norte	Beek 301	PenThouse	PentHouse
Aldea Zama	Amira Central	103	Primer Piso	Departamento
