Zona	Condominio	Unidad
Tumben kaa	(Palma Central)	2 unidades
Region 15	AAK	D3
Region 15	AAK	L1
La Veleta	AAK	l1
La Veleta	Acinte	A8
La Veleta	Acinte by ENDEMICO	Ph6
La Veleta	Acinte by endemico	#B1
La Veleta	Acinte by Endémico	
Kukulkan	Adora	207
Kukulkan	Adora	208
Kukulkan	Adora	302
Kukulkan	Adora	H4
Kukulkan	Adora	Villa 1
Kukulkan	Adora	Villa 2
Kukulkan	Adora	Villa 5
Kukulkan	Adora	301
Kukulkan	Adora	411
Kukulkan	Adora	412
Kukulkan	Adora	H1
Kukulkan	Adora	H2
Kukulkan	Adora	H13
Kukulkan	Adora	H16
Kukulkan	Adora	H8
Kukulkan	Adora	H17
Kukulkan	Adora	H19
Kukulkan	Adora	209
Kukulkan	Adora	406
Kukulkan	Adora	402
Kukulkan	Adora	401
Kukulkan	Adora	103
Kukulkan	Adora	409
Kukulkan	Adora	107
Kukulkan	Adora	111
Kukulkan	Adora	204
Kukulkan	Adora	#7
Kukulkan	Adora	#304
Kukulkan	Adora	101
Kukulkan	Adora	102
Kukulkan	Adora	206
Aldea Zama	Aflora	309
Aldea Zama	Aflora	211
Aldea Zama	Agua de mar 	308
Aldea Zama	Aguasanta	1
Holistika	Ahal 1	102
Holistika	Ahal 2	T4 #402
Holistika	Ahal I	A103
Holistika	Ahal II	1
Aldea Zama	Akua Reserve	34
Aldea Zama	Akua Tulum	18
Aldea Zama	Akua Tulum	13
Aldea Tulum	Aldea F2 	201
Riviera Tulum	Aldea Ka an	
Region 12	Aldea Savia	PH333
Region 12	Aldea Savia	G23
Region 12	Aldea Savia	511
Region 12	Aldea Savia	523
Region 12	Aldea Savia	211
Region 12	Aldea Savia	C23
Region 12	Aldea Savia	C21
Region 12	Aldea Savia	206
Region 12	Aldea Savia	R25
Region 12	Aldea Savia	F1 R49
Region 12	Aldea Savia 	F1 314
Region 12	Aldea Savia 	603E
Region 12	Aldea Savia 	F2 G64
Region 12	Aldea Savia F1	G34
Region 12	Aldea Savia F1	121
Region 12	Aldea Savia F1	DR14
Region 12	Aldea Savia F2	G55
Region 12	Aldea Savia F2	R44
Region 12	Aldea Savia F2	f2 g58
Region 12	Aldea Savia F2	G56
Region 12	Aldea Savia F2	523
Aldea Tulum	Aldea Tulum	10
Aldea Tulum	Aldea Tulum	B2 101
Aldea Tulum	Aldea Tulum	2
Aldea Tulum	Aldea Tulum	3
Aldea Tulum	Aldea Tulum	5
Aldea Tulum	Aldea Tulum	4
Aldea Tulum	Aldea Tulum	5
Aldea Tulum	Aldea Tulum	6
Aldea Tulum	Aldea Tulum	8
Aldea Tulum	Aldea Tulum	9
Aldea Tulum	Aldea Tulum	11
Aldea Tulum	Aldea Tulum	12
Aldea Tulum	Aldea Tulum	13
Aldea Tulum	Aldea Tulum	17
