"id","name","description","address","zone","total_units","is_active","created_at"
"28a390fa-396d-44cc-9fba-cd850b0cf133","Paramar Viva","","","","15","true","2025-11-21T23:53:13.820Z"
"c54a1b8b-9555-4d68-9063-506920c459ab","Aak","","","","2","true","2025-11-24T23:51:27.860Z"
"a1636d8a-8d8a-4d9f-a7ec-b268da6c9457","Acinte","","","","1","true","2025-11-24T23:51:27.860Z"
"845840d0-66ea-45a3-9799-c41aaeb77dc2","Acinte by Endémico","","","","2","true","2025-11-24T23:51:27.860Z"
"9eeef146-4c4d-4775-a95e-a0115d57f099","Adora","","","","31","true","2025-11-24T23:51:27.860Z"
"756e1d6b-d7b0-43ea-9ef7-c3662ed0571c","Aflora","","","","2","true","2025-11-24T23:51:27.860Z"
"32b48a7b-5312-4a8a-9a59-11c78d2bda1d","Agua de Mar","","","","1","true","2025-11-24T23:51:27.860Z"
"ce467514-1842-41ff-a2f8-511963c3d232","Aguasanta","","","","1","true","2025-11-24T23:51:27.860Z"
"05ca5f7e-59e4-482e-bf64-9b22b2abbfa7","Ahal 1","","","","2","true","2025-11-24T23:51:27.860Z"
"01c0e061-4468-4012-8992-60e21f7b55bd","Ahal 2","","","","1","true","2025-11-24T23:51:27.860Z"
"b2f06b1c-1445-46c4-bc7c-9a52cd862e34","Ahal 3","","","","1","true","2025-11-24T23:51:27.860Z"
"e62bc48f-ed05-4f17-b415-bd45bfcbeb1a","Akua Reserve","","","","1","true","2025-11-24T23:51:27.860Z"
"c5eb86d4-0646-4d66-a1a8-94244b76c12c","Akua Tulum","","","","2","true","2025-11-24T23:51:27.860Z"
"434a6d81-10c2-4035-a175-70571b8e2a7b","Aldea Ka An","","","","1","true","2025-11-24T23:51:27.860Z"
"0cdcd329-4d6d-4947-a622-7c70e05bc764","Aldea Savia","","","","8","true","2025-11-24T23:51:27.860Z"
"995343d6-0a42-4a53-a48e-69bf7319dae1","Aldea Savia F1","","","","7","true","2025-11-24T23:51:27.860Z"
"bb4a95e8-f80b-4d62-88dd-eae317398c15","Aldea Savia F2","","","","6","true","2025-11-24T23:51:27.860Z"
"82d2eed6-dfc9-401e-b3d2-289658d44e7d","Aldea Tulum","","","","24","true","2025-11-24T23:51:27.860Z"
"939178a3-b897-4d4e-963d-df85e3cfd044","Aldea Tulum F2","","","","1","true","2025-11-24T23:51:27.860Z"
"4149c27b-1ba6-4d8a-9d5d-733ed0bcda04","Aldea Tulum F3","","","","1","true","2025-11-24T23:51:27.860Z"
"d63a94d6-ccca-419c-8ca2-d88a60d25a78","Aldea Tulum Plus","","","","5","true","2025-11-24T23:51:27.860Z"
"a749836f-236f-4034-bac1-8834175f1606","Allegranza","","","","1","true","2025-11-24T23:51:27.860Z"
"8729f301-6410-4577-87bf-f35c5058812b","Alma","","","","3","true","2025-11-24T23:51:27.860Z"
"5171b0d3-e107-4491-8756-63a73b07a033","Alma De Flores","","","","3","true","2025-11-24T23:51:27.860Z"
"d585ed69-4a1f-4e9e-9e62-1bdbfb8d8992","Almendro","","","","1","true","2025-11-24T23:51:27.860Z"
"65ace410-d364-4a9a-997b-d57dfeb15537","Amar Tulum","","","","8","true","2025-11-24T23:51:27.860Z"
"77e5aad1-5504-4884-989f-896d25c6da45","Amelia","","","","1","true","2025-11-24T23:51:27.860Z"
"0c5a5041-b290-4393-82d9-39746247f573","Amira Central","","","","3","true","2025-11-24T23:51:27.860Z"
"1db80003-6a72-4dcd-9af3-f48a23e45b9b","Amira District","","","","2","true","2025-11-24T23:51:27.860Z"
"cc82007e-325a-475f-b4ff-36d02ac2c89d","Anah Suites","","","","4","true","2025-11-24T23:51:27.860Z"
"f251bf73-8fdc-4129-b3ea-25fd664061a4","Anah Village","","","","4","true","2025-11-24T23:51:27.860Z"
"f12ce240-f1ca-4bdb-b17d-5f254b6d9a65","Anayansi","","","","2","true","2025-11-24T23:51:27.860Z"
"b3000233-9022-40a6-93d1-2e16d1b146ba","Angelique","","","","3","true","2025-11-24T23:51:27.860Z"
"358a4d87-8e46-4721-875d-aec9657bb031","Arba I","","","","3","true","2025-11-24T23:51:27.860Z"
"82eadde6-669c-4fe4-8d4a-31466cf6962b","Arba Ii","","","","1","true","2025-11-24T23:51:27.860Z"
"4ee9ff62-f36b-4930-8aac-71d1cca0f82e","Palma Central","","","","1","true","2025-11-24T23:51:27.860Z"
"1d7261eb-ba5f-46ed-b076-1a39dba61fd3","Areia","","","","3","true","2025-11-24T23:51:27.860Z"
"2a23504e-4026-468c-a4b2-5d715352ec0a","Art House","","","","1","true","2025-11-24T23:51:27.860Z"
"36a5d44f-9ac8-447c-9ab3-32a1b1149dcc","Artia","","","","3","true","2025-11-24T23:51:27.860Z"
"5aa8d800-a810-4e4e-a667-f4ff916b4589","Aru Tulum","","","","3","true","2025-11-24T23:51:27.860Z"
"c97ed74b-2f2a-4128-b75a-313c7547a937","Asana","","","","2","true","2025-11-24T23:51:27.860Z"
"d433b27b-7d7c-42d4-9b68-3d5b8b58f4a4","Asana Leaf","","","","2","true","2025-11-24T23:51:27.860Z"
"58ef07d8-dc29-4af9-a784-f664f703278f","Atia","","","","1","true","2025-11-24T23:51:27.860Z"
"46862975-8d35-4762-b8e1-072f5f5ea17c","Atipika","","","","1","true","2025-11-24T23:51:27.860Z"
"7d2bd64c-c561-4ec9-8bac-c08f3377501a","Atman Residences","","","","3","true","2025-11-24T23:51:27.860Z"
"086811bb-1cff-4478-8d72-a96d4f95d0ac","Azara","","","","8","true","2025-11-24T23:51:27.860Z"
"d713a3f5-4853-40b8-8ea9-1fb8a07e3bb6","Baay","","","","3","true","2025-11-24T23:51:27.860Z"
"95e0c15b-163b-4a2a-8562-0cab03b88b2a","Bakal","","","","4","true","2025-11-24T23:51:27.860Z"
"0e409822-3527-4bce-b94a-dd78548b7d83","Balba","","","","1","true","2025-11-24T23:51:27.860Z"
"d0462969-a31f-476e-a071-d8cbef72f4b6","Beel 19","","","","1","true","2025-11-24T23:51:27.860Z"
"de8a73d2-696e-424b-a576-52ee5bc6a732","Blue Luxury","","","","2","true","2025-11-24T23:51:27.860Z"
"f8863721-a8db-40e8-97ad-cbf2f9b7835b","Bo's Home","","","","1","true","2025-11-24T23:52:57.240Z"
"77aadb9e-f231-419f-bce1-94c336e1743b","Boni Gardens","","","","3","true","2025-11-24T23:52:57.240Z"
"29323ac9-9ed4-415c-8e97-9b95b6a8e81b","Bonita Love And Explore","","","","3","true","2025-11-24T23:52:57.240Z"
"4075cb7d-9482-4da1-90a8-824cc6ed9f98","Botanic","","","","1","true","2025-11-24T23:52:57.240Z"
"209d733c-e7c1-4fa9-a059-3974b24a37a2","Brava Towers","","","","5","true","2025-11-24T23:52:57.240Z"
"95570c21-59fb-48a3-a963-cbadeae92fb2","Buena Vida","","","","1","true","2025-11-24T23:52:57.240Z"
"da93ec10-f7d6-4209-8ab8-c7551d3dd00b","Bungalows Village","","","","2","true","2025-11-24T23:52:57.240Z"
"505ed45e-e8fb-4a85-b872-1a08bd53ceca","Cacao","","","","28","true","2025-11-24T23:52:57.240Z"
"8b73fb71-4478-4795-adb4-8bd27f53ade9","Calakmul","","","","1","true","2025-11-24T23:52:57.240Z"
"64c6f44f-36c3-4846-a1e7-0358cca0cd3a","Canopia","","","","1","true","2025-11-24T23:52:57.240Z"
"e26e5be3-0f46-4d47-bbb2-a0a4e404a7c8","Carmela","","","","2","true","2025-11-24T23:52:57.240Z"
"4629b30a-02f1-44be-9d6b-0694457f1311","Casa 4 Recamaras","","","","1","true","2025-11-24T23:52:57.240Z"
"8c6c64d8-5ce3-48ac-a479-9cd5601ce2fe","Casa Alia","","","","1","true","2025-11-24T23:52:57.240Z"
"e3dabcbd-fc6e-46ac-98ee-37a07d4986d9","Casa Amal","","","","1","true","2025-11-24T23:52:57.240Z"
"047e6a15-996a-4903-aaf8-98378c77ec41","Casa Amor","","","","1","true","2025-11-24T23:52:57.240Z"
"34777baf-3aef-4d97-8acb-1609eff44d0f","Casa Ana","","","","1","true","2025-11-24T23:52:57.240Z"
